Country_encoded,EdLevel_encoded,YearsCodePro,Employment_encoded,Salary
151,0,13.0,0,116000.0
149,2,4.0,0,32315.0
149,0,2.0,0,40070.0
131,1,7.0,0,14268.0
99,1,20.0,0,38916.0
151,1,1.0,0,66000.0
149,0,23.0,2,108576.0
151,0,3.0,0,79000.0
151,0,12.0,0,1260000.0
151,0,3.0,0,83400.0
50,3,20.0,0,91883.0
28,0,10.0,0,71093.0
149,0,2.0,0,38778.0
28,0,10.0,0,31764.0
15,0,14.0,0,63564.0
149,1,3.0,0,77556.0
69,0,12.0,0,97288.0
151,2,20.0,0,106000.0
151,0,10.0,0,130000.0
151,2,29.0,0,135000.0
22,2,6.0,0,55893.0
48,2,2.0,0,36753.0
48,2,4.0,0,37834.0
149,3,28.0,0,74970.0
151,0,8.0,0,125000.0
151,0,4.0,0,52000.0
28,1,7.0,0,103615.0
149,0,6.0,0,90482.0
151,0,23.0,0,160000.0
151,2,23.0,0,1620000.0
22,0,15.0,0,16488.0
149,1,13.0,0,94359.0
151,0,14.0,0,1176000.0
151,3,15.0,0,250000.0
48,2,3.0,0,594539.0
149,0,11.0,2,124092.0
151,0,7.0,0,94500.0
151,1,25.0,0,117000.0
112,1,0.5,0,3036.0
48,0,3.0,2,108100.0
151,0,2.0,0,130000.0
63,1,2.0,0,61476.0
48,0,10.0,0,57292.0
52,3,15.0,0,21620.0
28,1,2.0,0,37816.0
28,1,25.0,0,71850.0
68,0,2.0,1,35028.0
28,0,4.0,0,75631.0
36,2,5.0,0,41568.0
28,0,9.0,0,79413.0
151,1,11.0,0,93000.0
151,0,0.5,0,40000.0
50,3,3.0,0,46044.0
151,0,5.0,0,148000.0
151,2,21.0,0,130000.0
151,2,3.0,0,65000.0
151,0,2.0,0,78800.0
149,2,8.0,0,116333.0
151,0,16.0,0,145000.0
50,1,6.0,0,61616.0
151,0,5.0,0,145000.0
149,0,5.0,0,109871.0
151,0,3.0,0,2000000.0
151,0,19.0,2,0.0
151,3,11.0,0,2000000.0
151,0,4.0,0,145000.0
151,1,4.0,0,80000.0
151,0,2.0,0,115000.0
151,0,3.0,0,115000.0
131,1,4.0,2,15564.0
24,1,5.0,0,24864.0
149,2,10.0,2,210050.0
50,1,35.0,2,129718.0
151,0,2.0,0,215000.0
151,0,8.0,0,45000.0
151,1,1.0,0,53000.0
151,1,5.0,0,97500.0
151,0,10.0,0,75000.0
149,1,3.0,0,32315.0
135,0,12.0,2,59320.0
28,0,3.0,0,37816.0
50,0,6.0,0,54480.0
62,0,3.0,0,293196.0
151,0,12.0,0,300000.0
147,0,8.0,0,9792.0
136,2,6.0,0,121980.0
151,0,3.0,0,90000.0
151,2,25.0,0,150000.0
